fecha,valor
1/15/2018,28,75
1/16/2018,28,75
1/17/2018,28,75
1/18/2018,28,75
1/19/2018,28,75
1/20/2018,28,75
1/21/2018,28,75
1/22/2018,28,75
1/23/2018,28,75
1/24/2018,28,75
1/25/2018,28,75
1/26/2018,28,75
1/27/2018,28,75
1/28/2018,28,75
1/29/2018,28,75
1/30/2018,28,75
1/31/2018,28,75
2/1/2018,28,75
2/2/2018,28,75
2/3/2018,28,75
2/4/2018,28,75
2/5/2018,28,75
2/6/2018,28,75
2/7/2018,28,75
2/8/2018,28,75
2/9/2018,28,75
2/10/2018,28,75
2/11/2018,28,75
2/12/2018,28,75
2/13/2018,28,75
2/14/2018,28,75
2/15/2018,28,75
2/16/2018,28,75
2/17/2018,28,75
2/18/2018,28,75
2/19/2018,27,24
2/20/2018,27,24
2/21/2018,27,24
2/22/2018,27,24
2/23/2018,27,24
2/24/2018,27,24
2/25/2018,27,24
2/26/2018,27,24
2/27/2018,27,24
2/28/2018,27,24
3/1/2018,27,24
3/2/2018,27,24
3/3/2018,27,24
3/4/2018,27,24
3/5/2018,27,24
3/6/2018,27,24
3/7/2018,27,24
3/8/2018,27,24
3/9/2018,27,24
3/10/2018,27,24
3/11/2018,27,24
3/12/2018,27,24
3/13/2018,27,24
3/14/2018,26,75
3/15/2018,26,75
3/16/2018,26,75
3/17/2018,26,75
3/18/2018,26,75
3/19/2018,26,75
3/20/2018,26,75
3/21/2018,26,75
3/22/2018,26,75
3/23/2018,26,75
3/24/2018,26,75
3/25/2018,26,75
3/26/2018,26,75
3/27/2018,26,75
3/28/2018,26,75
3/29/2018,26,75
3/30/2018,26,75
3/31/2018,26,75
4/1/2018,26,75
4/2/2018,26,75
4/3/2018,26,50
4/4/2018,26,50
4/5/2018,26,50
4/6/2018,26,50
4/7/2018,26,50
4/8/2018,26,50
4/9/2018,26,50
4/10/2018,26,50
4/11/2018,26,50
4/12/2018,26,50
4/13/2018,26,50
4/14/2018,26,50
4/15/2018,26,50
4/16/2018,26,50
4/17/2018,26,50
4/18/2018,26,50
4/19/2018,26,50
4/20/2018,26,30
4/21/2018,26,30
4/22/2018,26,30
4/23/2018,26,30
4/24/2018,26,30
4/25/2018,26,30
4/26/2018,26,30
4/27/2018,26,30
4/28/2018,26,30
4/29/2018,26,30
4/30/2018,26,30
5/1/2018,26,30
5/2/2018,26,30
5/3/2018,26,30
5/4/2018,26,30
5/5/2018,26,30
5/6/2018,26,30
5/7/2018,26,30
5/8/2018,40,00
5/9/2018,40,00
5/10/2018,40,00
5/11/2018,40,00
5/12/2018,40,00
5/13/2018,40,00
5/14/2018,40,00
5/15/2018,40,00
5/16/2018,40,00
5/17/2018,40,00
5/18/2018,40,00
5/19/2018,40,00
5/20/2018,40,00
5/21/2018,40,00
5/22/2018,40,00
5/23/2018,40,00
5/24/2018,40,00
5/25/2018,40,00
5/26/2018,40,00
5/27/2018,40,00
5/28/2018,40,00
5/29/2018,40,00
5/30/2018,40,00
